Tabelle: 13211-0007
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen:;;;;;;;;;;;;;;;;;
Bundesländer, Jahre;;;;;;;;;;;;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;;2025;
Baden-Württemberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arbeitslose;Anzahl;272656;e;226918;e;222202;e;233956;e;230372;e;227098;e;226421;e;212837;e;195128;e;196950;e;259940;e;247774;e;223119;e;245466;e;269990;e;293713;e
Arbeitslosenquote aller zivilen Erwerbspersonen;Prozent;4,9;e;4,0;e;3,9;e;4,1;e;4,0;e;3,8;e;3,8;e;3,5;e;3,2;e;3,2;e;4,1;e;3,9;e;3,5;e;3,9;e;4,2;e;4,6;e
Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Prozent;5,4;e;4,5;e;4,4;e;4,5;e;4,4;e;4,3;e;4,2;e;3,9;e;3,5;e;3,5;e;4,5;e;4,3;e;3,9;e;4,2;e;4,6;e;4,9;e
Gemeldete Arbeitsstellen;Anzahl;50969;e;73278;e;74844;e;63506;e;71974;e;82009;e;92333;e;102096;e;112360;e;106185;e;72963;e;88314;e;111188;e;95715;e;82697;e;75126;e
Bayern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arbeitslose;Anzahl;299448;e;254359;e;248860;e;264532;e;264603;e;256527;e;250623;e;231353;e;214017;e;211965;e;275075;e;262186;e;235851;e;257096;e;285234;e;315289;e
Arbeitslosenquote aller zivilen Erwerbspersonen;Prozent;4,5;e;3,8;e;3,7;e;3,8;e;3,8;e;3,6;e;3,5;e;3,2;e;2,9;e;2,8;e;3,6;e;3,5;e;3,1;e;3,4;e;3,7;e;4,0;e
Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Prozent;5,1;e;4,3;e;4,2;e;4,4;e;4,3;e;4,1;e;3,9;e;3,6;e;3,2;e;3,2;e;4,0;e;3,8;e;3,4;e;3,7;e;4,0;e;4,4;e
Gemeldete Arbeitsstellen;Anzahl;50336;e;67074;e;70082;e;64412;e;73092;e;87784;e;103907;e;118912;e;129853;e;125827;e;100066;e;119158;e;154634;e;149006;e;132035;e;111603;e
