Tabelle: 13311-0002
Erwerbstätige, Arbeitnehmer, Selbständige und mithelfende;;;;;;;;;;;;;;;;;;;
Familienangehörige (im Inland): Bundesländer, Jahre,;;;;;;;;;;;;;;;;;;;
Wirtschaftszweige;;;;;;;;;;;;;;;;;;;
Länderberechnung Erwerbstätige;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;;2025;
Baden-Württemberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;Erwerbstätige (Inlandskonzept);1000;73,9;e;73,9;e;74,1;e;73,0;e;70,2;e;70,7;e;76,5;e;76,3;e;73,9;e;70,9;e;68,4;e;66,3;e;65,2;p;64,5;p;63,8;p;63,7;p
WZ08-B-F;Produzierendes Gewerbe;Erwerbstätige (Inlandskonzept);1000;1745,1;e;1772,0;e;1797,0;e;1810,3;e;1826,0;e;1847,7;e;1863,9;e;1893,4;e;1934,6;e;1949,8;e;1915,3;e;1894,1;e;1903,3;p;1917,6;p;1902,9;p;1868,3;p
WZ08-B-E;Produzierendes Gewerbe ohne Baugewerbe;Erwerbstätige (Inlandskonzept);1000;1452,2;e;1477,7;e;1497,3;e;1506,6;e;1516,8;e;1536,6;e;1547,7;e;1568,7;e;1602,9;e;1613,9;e;1573,1;e;1547,4;e;1555,6;p;1568,2;p;1555,7;p;1520,7;p
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;Erwerbstätige (Inlandskonzept);1000;5,0;e;4,9;e;5,1;e;5,3;e;5,3;e;5,5;e;5,3;e;5,4;e;5,3;e;5,1;e;4,9;e;4,9;e;4,9;p;4,6;p;4,7;p;...;
WZ08-C;Verarbeitendes Gewerbe;Erwerbstätige (Inlandskonzept);1000;1393,5;e;1418,5;e;1442,5;e;1449,9;e;1456,5;e;1475,8;e;1486,1;e;1505,8;e;1538,5;e;1548,1;e;1505,4;e;1478,1;e;1484,5;p;1495,7;p;1479,9;p;1442,2;p
WZ08-D;Energieversorgung;Erwerbstätige (Inlandskonzept);1000;33,8;e;34,3;e;29,8;e;31,4;e;34,3;e;34,6;e;35,2;e;35,7;e;36,4;e;37,4;e;38,9;e;40,4;e;41,2;p;42,5;p;43,5;p;...;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;Erwerbstätige (Inlandskonzept);1000;19,9;e;19,9;e;19,9;e;20,0;e;20,6;e;20,8;e;21,1;e;21,7;e;22,8;e;23,3;e;23,8;e;24,0;e;25,0;p;25,4;p;27,6;p;...;
WZ08-F;Baugewerbe;Erwerbstätige (Inlandskonzept);1000;292,8;e;294,3;e;299,7;e;303,7;e;309,2;e;311,1;e;316,2;e;324,7;e;331,7;e;335,9;e;342,2;e;346,6;e;347,7;p;349,4;p;347,2;p;347,6;p
WZ08-G-T;Dienstleistungsbereiche;Erwerbstätige (Inlandskonzept);1000;3870,0;e;3916,9;e;3975,2;e;4031,9;e;4091,3;e;4125,4;e;4182,5;e;4242,2;e;4289,1;e;4322,3;e;4299,8;e;4317,7;e;4383,8;p;4426,9;p;4448,3;p;4481,2;p
