"year","country_id_o","country_id_d","iso3_o","iso3_d","iso3num_o","iso3num_d","country_exists_o","country_exists_d","gmt_offset_2020_o","gmt_offset_2020_d","distw_harmonic","distw_arithmetic","distw_harmonic_jh","distw_arithmetic_jh","dist","main_city_source_o","main_city_source_d","distcap","contig","diplo_disagreement","scaled_sci_2021","comlang_off","comlang_ethno","comcol","col45","legal_old_o","legal_old_d","legal_new_o","legal_new_d","comleg_pretrans","comleg_posttrans","transition_legalchange","comrelig","heg_o","heg_d","col_dep_ever","col_dep","col_dep_end_year","col_dep_end_conflict","empire","sibling_ever","sibling","sever_year","sib_conflict","pop_o","pop_d","gdp_o","gdp_d","gdpcap_o","gdpcap_d","pop_source_o","pop_source_d","gdp_source_o","gdp_source_d","gdp_ppp_o","gdp_ppp_d","gdpcap_ppp_o","gdpcap_ppp_d","pop_pwt_o","pop_pwt_d","gdp_ppp_pwt_o","gdp_ppp_pwt_d","gatt_o","gatt_d","wto_o","wto_d","eu_o","eu_d","fta_wto","fta_wto_raw","rta_coverage","rta_type","entry_cost_o","entry_cost_d","entry_proc_o","entry_proc_d","entry_time_o","entry_time_d","entry_tp_o","entry_tp_d","tradeflow_comtrade_o","tradeflow_comtrade_d","tradeflow_baci","manuf_tradeflow_baci","tradeflow_imf_o","tradeflow_imf_d"
2010,"DEU.1","AFG","DEU","AFG",280,4,0,1,,4.5,,,,,,"","",,,,,,,,,,1,,1,,,,,,0,,,,,"",,,,,,28397.812,,15936784.384,,0.561,,1,,1,,45555113.006,,1.582,,,,,,0,,0,,0,,,,,,26.7,,4,,7.5,,11.5,,,,,,
2011,"DEU.1","AFG","DEU","AFG",280,4,0,1,,4.5,,,,,,"","",,,,,,,,,,1,,1,,,,,,0,,,,,"",,,,,,29105.48,,17870159.872,,0.614,,1,,1,,49338254.431,,1.661,,,,,,0,,0,,0,,,,,,25.8,,4,,7.5,,11.5,,,,,,
2012,"DEU.1","AFG","DEU","AFG",280,4,0,1,,4.5,,,,,,"","",,,,,,,,,,1,,1,,,,,,0,,,,,"",,,,,,29824.535,,20506796.032,,0.688,,1,,1,,57500127.993,,1.873,,,,,,0,,0,,0,,,,,,22.5,,4,,7.5,,11.5,,,,,,
2013,"DEU.1","AFG","DEU","AFG",280,4,0,1,,4.5,,,,,,"","",,,,,,,,,,1,,1,,,,,,0,,,,,"",,,,,,30551.674,,20309671.936,,0.665,,1,,1,,59573450.332,,1.877,,,,,,0,,0,,0,,,,,,14.4,,3,,5.5,,8.5,,,,,,
2014,"DEU.1","AFG","DEU","AFG",280,4,0,1,,4.5,,,,,,"","",,,,,,,,,,1,,1,,,,,,0,,,,,"",,,,,,32758.018,,20050190.336,,0.612,,1,,1,,61435943.662,,1.875,,,,,,0,,0,,0,,,,,,15.1,,3,,7.5,,10.5,,,,,,
2015,"DEU.1","AFG","DEU","AFG",280,4,0,1,,4.5,,,,,,"","",,,,,,,,,,1,,1,,,,,,0,,,,,"",,,,,,33736.492,,19702986.752,,0.584,,1,,1,,62787809.846,,1.861,,,,,,0,,0,,0,,,,,,19,,3,,7.5,,10.5,,,,,,
2016,"DEU.1","AFG","DEU","AFG",280,4,0,1,,4.5,,,,,,"","",,,,,,,,,,1,,1,,,,,,0,,,,,"",,,,,,34656.033,,19469021.184,,0.562,,1,,1,,65033592.566,,1.877,,,,,,0,,1,,0,,,,,,19.9,,3,,7.5,,10.5,,,,,,
2017,"DEU.1","AFG","DEU","AFG",280,4,0,1,,4.5,,,,,,"","",,,,,,,,,,1,,1,,,,,,0,,,,,"",,,,,,36296.112,,18753469.63,,0.517,,,,,,74711922.906,,2.058,,,,,,0,,1,,0,,,,,,82.3,,4,,8.5,,12.5,,,,,,
2018,"DEU.1","AFG","DEU","AFG",280,4,0,1,,4.5,,,,,,"","",,,,,,,,,,1,,1,,,,,,0,,,,,"",,,,,,37171.921,,18053228.579,,0.486,,,,,,77406520.333,,2.082,,,,,,0,,1,,0,,,,,,6.4,,4,,8.5,,12.5,,,,,,
2019,"DEU.1","AFG","DEU","AFG",280,4,0,1,,4.5,,,,,,"","",,,,,,,,,,1,,1,,,,,,0,,,,,"",,,,,,38041.756,,18799450.743,,0.494,,,,,,81873098.235,,2.152,,,,,,0,,1,,0,,,,,,6.8,,4,,8.5,,12.5,,,,,,
